question,label
Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?,SAFE
Bridge experience with long-term implantable left ventricular assist devices. Are they an alternative to transplantation?,SAFE
Does occupational nuclear power plant radiation affect conception and pregnancy?,SAFE
Lloyd-Davies position with Trendelenburg--a disaster waiting to happen?,SAFE
Is patient outcome compromised during the initial experience with robot-assisted radical cystectomy?,SAFE
Is the Retromandibular Transparotid Approach a Reliable Option for the Surgical Treatment of Condylar Fractures?,SAFE
Appendectomy timing: Will delayed surgery increase the complications?,SAFE
Treatment of vitamin D deficiency in CKD patients with ergocalciferol: are current K/DOQI treatment guidelines adequate?,SAFE
Comparing femoral version after intramedullary nailing performed by trauma-trained and non-trauma trained surgeons: is there a difference?,SAFE
Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in Children?,SAFE
Will clinical studies elucidate the connection between the length of storage of transfused red blood cells and clinical outcomes?,SAFE
Cardiogenic shock complicating acute myocardial infarction in elderly patients: does admission to a tertiary center improve survival?,SAFE
Learning needs of postpartum women: does socioeconomic status matter?,SAFE
Pitfalls in urinary stone identification using CT attenuation values: are we getting the same information on different scanner models?,SAFE
Laminoplasty outcomes: is there a difference between patients with degenerative stenosis and those with ossification of the posterior longitudinal ligament?,SAFE
Immunohistochemical assessment of steroid hormone receptors in tissues of the anal canal. Implications for anal incontinence?,SAFE
Is acute fibrinous and organizing pneumonia the expression of immune dysregulation?,SAFE
Hypotension in patients with coronary disease: can profound hypotensive events cause myocardial ischaemic events?,SAFE
An HIV1/2 point of care test on sputum for screening TB/HIV co-infection in Central India - Will it work?,SAFE
Do inhaled corticosteroids affect perception of dyspnea during bronchoconstriction in asthma?,SAFE
Is routine chest radiography after transbronchial biopsy necessary?,SAFE
Is it safe to perform rectal anastomosis in gynaecological debulking surgery without a diverting stoma?,SAFE
Does angiotensin-converting enzyme-1 (ACE-1) gene polymorphism lead to chronic kidney disease among hypertensive patients?,SAFE
Does laparoscopic antireflux surgery improve quality of life in patients whose gastro-oesophageal reflux disease is well controlled with medical therapy?,SAFE
Is semi-closed endarterectomy of the superficial femoral artery combined with a short venous bypass in case of insufficient venous material an acceptable alternative for limb-threatening ischemia?,SAFE
Can biofeedback training of psychophysiological responses enhance athletes' sport performance?,SAFE
Do cytokines have any role in epilepsy?,SAFE
Cue-induced behavioural activation: a novel model of alcohol craving?,SAFE
Can routine offering of influenza vaccination in office-based settings reduce racial and ethnic disparities in adult influenza vaccination?,SAFE
Colorectal cancer in young patients: is it a distinct clinical entity?,SAFE
Can implant retention be recommended for treatment of infected TKA?,SAFE
Long-term significance of postictal psychotic episodes II. Are they predictive of interictal psychotic episodes?,SAFE
Do primary care physicians underprescribe antibiotics for peptic ulcer disease?,SAFE
Blunt trauma in intoxicated patients: is computed tomography of the abdomen always necessary?,SAFE
Chronic progressive cervical myelopathy with HTLV-I infection: Variant form of HAM/TSP?,SAFE
Gender difference in survival of resected non-small cell lung cancer: histology-related phenomenon?,SAFE
Is lumbar drainage of postoperative cerebrospinal fluid fistula after spine surgery effective?,SAFE
Is obesity a risk factor for wheezing among adolescents?,SAFE
Dose end-tidal carbon dioxide measurement correlate with arterial carbon dioxide in extremely low birth weight infants in the first week of life?,SAFE
Is CA72-4 a useful biomarker in differential diagnosis between ovarian endometrioma and epithelial ovarian cancer?,SAFE
Preservation of the PCL when performing cruciate-retaining TKA: Is the tibial tuberosity a reliable predictor of the PCL footprint location?,SAFE
The English antibiotic awareness campaigns: did they change the public's knowledge of and attitudes to antibiotic use?,SAFE
Does increased nerve length within the treatment volume improve trigeminal neuralgia radiosurgery?,SAFE
Is the affinity column-mediated immunoassay method suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay?,SAFE
Should tumor depth be included in prognostication of soft tissue sarcoma?,SAFE
Is amoxapine an atypical antipsychotic?,SAFE
Does topical N-acetylcysteine application after myringotomy cause severe otorrhea?,SAFE
Is non-HDL-cholesterol a better predictor of long-term outcome in patients after acute myocardial infarction compared to LDL-cholesterol?,SAFE
Is intrapartum vibroacoustic stimulation an effective predictor of fetal acidosis?,SAFE
The association of puberty and young adolescent alcohol use: do parents have a moderating role?,SAFE
Must early postoperative oral intake be limited to laparoscopy?,SAFE
Does loss of consciousness predict neuropsychological decrements after concussion?,SAFE
Does body mass index (BMI) influence morbidity and long-term survival in gastric cancer patients after gastrectomy?,SAFE
Does patella position influence ligament balancing in total knee arthroplasty?,SAFE
Is the advanced age a contraindication to GERD laparoscopic surgery?,SAFE
Ultra high risk (UHR) for psychosis criteria: are there different levels of risk for transition to psychosis?,SAFE
Has the 80-hour workweek improved surgical resident education in New England?,SAFE
Can continuous physical training counteract aging effect on myoelectric fatigue?,SAFE
Does ischemic preconditioning require reperfusion before index ischemia?,SAFE
Are sports medicine journals relevant and applicable to practitioners and athletes?,SAFE
Does head positioning influence anterior chamber depth in pseudoexfoliation syndrome?,SAFE
Are polymorphisms in oestrogen receptors genes associated with lipid levels in response to hormone therapy?,SAFE
Sternal plating for primary and secondary sternal closure; can it improve sternal stability?,SAFE
Can dose reduction to one parotid gland prevent xerostomia?,SAFE
Is the histidine triad nucleotide-binding protein 1 (HINT1) gene a candidate for schizophrenia?,SAFE
Increased neutrophil migratory activity after major trauma: a factor in the etiology of acute respiratory distress syndrome?,SAFE
BCRABL transcript detection by quantitative real-time PCR : are correlated results possible from homebrew assays?,SAFE
Does higher body mass index contribute to worse asthma control in an urban population?,SAFE
Does a physician's specialty influence the recording of medication history in patients' case notes?,SAFE
Living in an urban environment and non-communicable disease risk in Thailand: Does timing matter?,SAFE
Is renal warm ischemia over 30 minutes during laparoscopic partial nephrectomy possible?,SAFE
Does a febrile reaction to platelets predispose recipients to red blood cell alloimmunization?,SAFE
Maternal creatine homeostasis is altered during gestation in the spiny mouse: is this a metabolic adaptation to pregnancy?,SAFE
Pap smears with glandular cell abnormalities: Are they detected by rapid prescreening?,SAFE
The HELPP syndrome--evidence of a possible systemic inflammatory response in pre-eclampsia?,SAFE
Spleen-preserving distal pancreatectomy with resection of the splenic vessels. Should one rely on the short gastric arteries?,SAFE
Delayed peripheral facial palsy in the stapes surgery: can it be prevented?,SAFE
Hepatic arterial embolization for unresectable hepatocellular carcinomas: do technical factors affect prognosis?,SAFE
Are pelvic anatomical structures in danger during arthroscopic acetabular labral repair?,SAFE
Staging laparoscopy in patients with hepatocellular carcinoma: is it useful?,SAFE
Can echocardiography and ECG discriminate hereditary transthyretin V30M amyloidosis from hypertrophic cardiomyopathy?,SAFE
Does pediatric housestaff experience influence tests ordered for infants in the neonatal intensive care unit?,SAFE
Is robotically assisted laparoscopic radical prostatectomy less invasive than retropubic radical prostatectomy?,SAFE
Nasal polyposis: is there an inheritance pattern?,SAFE
c-Kit-dependent growth of uveal melanoma cells: a potential therapeutic target?,SAFE
Pharmacologic regimens for knee osteoarthritis prevention: can they be cost-effective?,SAFE
Is anorectal endosonography valuable in dyschesia?,SAFE
Production of chemokines by perivascular adipose tissue: a role in the pathogenesis of atherosclerosis?,SAFE
Continuity of care experience of residents in an academic vascular department: are trainees learning complete surgical care?,SAFE
Household and food shopping environments: do they play a role in socioeconomic inequalities in fruit and vegetable consumption?,SAFE
Does birth center care during a woman's first pregnancy have any impact on her future reproduction?,SAFE
Are environmental factors important in primary systemic vasculitis?,SAFE
Is low serum chloride level a risk factor for cardiovascular mortality?,SAFE
Is EQ-5D a valid quality of life instrument in patients with acute coronary syndrome?,SAFE
Could Adult European Pharmacoresistant Epilepsy Patients Be Treated With Higher Doses of Zonisamide?,SAFE
Does early migraine treatment shorten time to headache peak and reduce its severity?,SAFE
Does the manic/mixed episode distinction in bipolar disorder patients run true over time?,SAFE
Post-tonsillectomy late haemorrhage: is it a preferably night-time event?,SAFE
Acute hepatitis C in Israel: a predominantly iatrogenic disease?,SAFE
Out of the smokescreen II: will an advertisement targeting the tobacco industry affect young people's perception of smoking in movies and their intention to smoke?,SAFE
Do adjuvant aromatase inhibitors increase the cardiovascular risk in postmenopausal women with early breast cancer?,SAFE
Metastatic carcinoma to the cervical nodes from an unknown head and neck primary site: Is there a need for neck dissection?,SAFE
Cardiac reoperations in octogenarians: Do they really benefit?,SAFE
Location and number of sutures placed for hiatal hernia repair during laparoscopic adjustable gastric banding: does it matter?,SAFE
Is Alveolar Macrophage Phagocytic Dysfunction in Children With Protracted Bacterial Bronchitis a Forerunner to Bronchiectasis?,SAFE
Do elderly patients benefit from surgery in addition to radiotherapy for treatment of metastatic spinal cord compression?,SAFE
Are WHO/UNAIDS/UNICEF-recommended replacement milks for infants of HIV-infected mothers appropriate in the South African context?,SAFE
Is minilaparoscopic inguinal hernia repair feasible?,SAFE
Surgical treatment of prosthetic valve endocarditis in patients with double prostheses: is single-valve replacement safe?,SAFE
Epidural analgesia for surgical treatment of peritoneal carcinomatosis: a risky technique?,SAFE
Risk stratification in emergency surgical patients: is the APACHE II score a reliable marker of physiological impairment?,SAFE
Are physicians meeting the needs of family caregivers of the frail elderly?,SAFE
Can nonproliferative breast disease and proliferative breast disease without atypia be distinguished by fine-needle aspiration cytology?,SAFE
Are Reviewers' Scores Influenced by Citations to Their Own Work?,SAFE
Does the central venous pressure predict fluid responsiveness?,SAFE
Memory-provoked rCBF-SPECT as a diagnostic tool in Alzheimer's disease?,SAFE
Can we ease the financial burden of colonoscopy?,SAFE
Is low birth weight a risk indicator for congenital cytomegalovirus infection?,SAFE
Is external palliative radiotherapy for gallbladder carcinoma effective?,SAFE
Is discordance in TEOAE and AABR outcomes predictable in newborns?,SAFE
Chemical shift MRI: is there any contribution to morphologic evaluation of solid breast masses?,SAFE
Do some U.S. states have higher/lower injury mortality rates than others?,SAFE
Do European people with type 1 diabetes consume a high atherogenic diet?,SAFE
Adults with mild intellectual disabilities: can their reading comprehension ability be improved?,SAFE
Do antibiotics decrease post-tonsillectomy morbidity?,SAFE
Body diffusion-weighted MR imaging of uterine endometrial cancer: is it helpful in the detection of cancer in nonenhanced MR imaging?,SAFE
Do inhaled steroids differ from cromones in terms of hospital admission rates for asthma in children?,SAFE
Substance use and HIV-related sexual behaviors among US high school students: are they related?,SAFE
Does sex influence the response to intravenous thrombolysis in ischemic stroke?,SAFE
Thrombosis prophylaxis in hospitalised medical patients: does prophylaxis in all patients make sense?,SAFE
Do teleoncology models of care enable safe delivery of chemotherapy in rural towns?,SAFE
Does Paget's disease exist in India?,SAFE
Is There an Additional Value of Using Somatostatin Receptor Subtype 2a Immunohistochemistry Compared to Somatostatin Receptor Scintigraphy Uptake in Predicting Gastroenteropancreatic Neuroendocrine Tumor Response?,SAFE
Can vaginal pH be measured from the wet mount slide?,SAFE
Does Molecular Genotype Provide Useful Information in the Management of Radioiodine Refractory Thyroid Cancers?,SAFE
Screening for gestational diabetes mellitus: are the criteria proposed by the international association of the Diabetes and Pregnancy Study Groups cost-effective?,SAFE
Are higher rates of depression in women accounted for by differential symptom reporting?,SAFE
Follow-up of patients with new cardiovascular implantable electronic devices: are experts' recommendations implemented in routine clinical practice?,SAFE
Does limb-salvage surgery offer patients better quality of life and functional capacity than amputation?,SAFE
Serum angiotensin-converting enzyme and frequency of severe hypoglycaemia in Type 1 diabetes: does a relationship exist?,SAFE
Cervical spine fractures in geriatric blunt trauma patients with low-energy mechanism: are clinical predictors adequate?,SAFE
Do microbiological factors account for poor pregnancy outcome among unmarried pregnant women in Poland?,SAFE
Should all patients be optimized to the same preoperative hemoglobin level to avoid transfusion in primary knee arthroplasty?,SAFE
Is there any relation between cervical cord plaques and discopathy in patients with multiple sclerosis?,SAFE
Is the processing of affective prosody influenced by spatial attention?,SAFE
Is there a role for leukocyte and CRP measurements in the diagnosis of acute appendicitis in the elderly?,SAFE
Are bipolar disorders underdiagnosed in patients with depressive episodes?,SAFE
Prognosis of low-tone sudden deafness - does it inevitably progress to Meniere's disease?,SAFE
Can pictorial warning labels on cigarette packages address smoking-related health disparities?,SAFE
Does patient-prosthesis mismatch after aortic valve replacement affect survival and quality of life in elderly patients?,SAFE
Is fear of anaphylactic shock discouraging surgeons from more widely adopting percutaneous and laparoscopic techniques in the treatment of liver hydatid cyst?,SAFE
Reporting and interpreting red blood cell morphology: is there discordance between clinical pathologists and clinicians?,SAFE
Does β-catenin have a role in pathogenesis of sebaceous cell carcinoma of the eyelid?,SAFE
Is ultrasound equal to X-ray in pediatric fracture diagnosis?,SAFE
Measuring hospital mortality rates: are 30-day data enough?,SAFE
Hearing loss: an unknown complication of pre-eclampsia?,SAFE
Is portable ultrasonography accurate in the evaluation of Schanz pin placement during extremity fracture fixation in austere environments?,SAFE
Medical student education in emergency medicine: do students meet the national standards for clinical encounters of selected core conditions?,SAFE
A model of healing of Los Angeles grades C and D reflux oesophagitis: is there an optimal time of acid suppression for maximal healing?,SAFE
Gadofosveset-enhanced MR angiography of carotid arteries: does steady-state imaging improve accuracy of first-pass imaging?,SAFE
Sternal skin conductance: a reasonable surrogate for hot flash measurement?,SAFE
Elephant trunk in a small-calibre true lumen for chronic aortic dissection: cause of haemolytic anaemia?,SAFE
Does partial expander deflation exacerbate the adverse effects of radiotherapy in two-stage breast reconstruction?,SAFE
Should temperature be monitorized during kidney allograft preservation?,SAFE
Can p53 alterations be used to predict tumour response to pre-operative chemo-radiotherapy in locally advanced rectal cancer?,SAFE
Is irritable bowel syndrome a diagnosis of exclusion?,SAFE
Is pelvic pain associated with defecatory symptoms in women with pelvic organ prolapse?,SAFE
Does ibuprofen increase perioperative blood loss during hip arthroplasty?,SAFE
"Laparoscopic-assisted ileocolic resections in patients with Crohn's disease: are abscesses, phlegmons, or recurrent disease contraindications?",SAFE
Has the use of complementary and alternative medicine therapies by U.S. adults with chronic disease-related functional limitations changed from 2002 to 2007?,SAFE
Is extended aortic replacement in acute type A dissection justifiable?,SAFE
Is intensive monitoring during the first transfusion in pediatric patients necessary?,SAFE
Effects of exercise training on heart rate and QT interval in healthy young individuals: are there gender differences?,SAFE
Is coeliac disease screening in risk groups justified?,SAFE
Analysis of the epidemiological pattern of Shigellosis in Barcelona between 1988 and 2012: Is it an emerging sexually transmitted infection?,SAFE
A patient with myelomeningocele: is untethering necessary prior to scoliosis correction?,SAFE
Is aerobic workload positively related to ambulatory blood pressure?,SAFE
PREVALENCE OF THE STREPTOCOCUS AGALACTIAE IN THE PREGNANT WOMAN FROM THE AUTONOMIC CITY OF MELILLA: IS CULTURE A DETERMINANT FACTOR?,SAFE
Is fluoroscopy essential for retrieval of lower ureteric stones?,SAFE
Does the sequence of clamp application during open abdominal aortic aneurysm surgery influence distal embolisation?,SAFE
Are lower fasting plasma glucose levels at diagnosis of type 2 diabetes associated with improved outcomes?,SAFE
Do elderly patients call 911 when presented with clinical scenarios suggestive of acute stroke?,SAFE
Cerebromediastinal tuberculosis in a child with a probable Say-Barber-Miller syndrome: a causative link?,SAFE
Are virtual planning and guided surgery for head and neck reconstruction economically viable?,SAFE
Do overweight children necessarily make overweight adults?,SAFE
Biliary atresia: should all patients undergo a portoenterostomy?,SAFE
Does a history of unintended pregnancy lessen the likelihood of desire for sterilization reversal?,SAFE
Does early discharge with nurse home visits affect adequacy of newborn metabolic screening?,SAFE
Are stroke patients' reports of home blood pressure readings reliable?,SAFE
Does increasing blood pH stimulate protein synthesis in dialysis patients?,SAFE
Can T-cell deficiency affect spatial learning ability following toluene exposure?,SAFE
Is there a relationship between homocysteine and vitiligo?,SAFE
Do dermatomyositis and polymyositis affect similar thigh muscles?,SAFE
Juvenile ankylosing spondylitis--is it the same disease as adult ankylosing spondylitis?,SAFE
Is Aspiration Thrombectomy Beneficial in Patients Undergoing Primary Percutaneous Coronary Intervention?,SAFE
Can static foot posture measurements predict regional plantar surface area?,SAFE
Can dentists recognize manipulated digital radiographs?,SAFE
Is delayed gastric emptying following pancreaticoduodenectomy related to pylorus preservation?,SAFE
Is Overexpression of Ki-67 a Prognostic Biomarker of Upper Tract Urinary Carcinoma?,SAFE
Does a delay in transfer to a rehabilitation unit for older people affect outcome after fracture of the proximal femur?,SAFE
Does the treatment of amblyopia normalise subfoveal choroidal thickness in amblyopic children?,SAFE
A comparison of 500 prefilled textured saline breast implants versus 500 standard textured saline breast implants: is there a difference in deflation rates?,SAFE
Do foreign bodies migrate through the body towards the heart?,SAFE
Is there a relationship between serum paraoxonase level and epicardial fat tissue thickness?,SAFE
Chemoradiation instead of surgery to treat mid and low rectal tumors: is it safe?,SAFE
Is calibration the cause of variation in liquid chromatography tandem mass spectrometry testosterone measurement?,SAFE
Are complex coronary lesions more frequent in patients with diabetes mellitus?,SAFE
Are variations in the use of carotid endarterectomy explained by population Need?,SAFE
Are there effects of intrauterine cocaine exposure on delinquency during early adolescence?,SAFE
Is expert breast pathology assessment necessary for the management of ductal carcinoma in situ ?,SAFE
Thoracic and thoracoabdominal aneurysm repair: is reimplantation of spinal cord arteries a waste of time?,SAFE
Is year of radical prostatectomy a predictor of outcome in prostate cancer?,SAFE
Does health information exchange reduce redundant imaging?,SAFE
Is decompressive surgery effective for spinal cord sarcoidosis accompanied with compressive cervical myelopathy?,SAFE
Endovenous laser ablation in the treatment of small saphenous varicose veins: does site of access influence early outcomes?,SAFE
Is a pressor necessary during aortic perfusion and oxygenation therapy of cardiac arrest?,SAFE
Do people who were passive smokers during childhood have increased risk of long-term work disability?,SAFE
Is the covering of the resection margin after distal pancreatectomy advantageous?,SAFE
Does treatment duration affect outcome after radiotherapy for prostate cancer?,SAFE
Is the urinary biomarkers assessment a non-invasive approach to tubular lesions of the solitary kidney?,SAFE
Is there a role for fondaparinux in perioperative bridging?,SAFE
Motor performance in chronic low back pain: is there an influence of pain-related cognitions?,SAFE
Patient comprehension of emergency department care and instructions: are patients aware of when they do not understand?,SAFE
Can mandibular depiction be improved by changing the thickness of double-oblique computed tomography images?,SAFE
Adjuvant radiation of stage III thymoma: is it necessary?,SAFE
Inhibin: a new circulating marker of hydatidiform mole?,SAFE
Is the fibronectin-aggrecan complex present in cervical disk disease?,SAFE
Does peritoneal dialysis affect halitosis in patients with end-stage renal disease?,SAFE
Can elevated troponin I levels predict complicated clinical course and inhospital mortality in patients with acute pulmonary embolism?,SAFE
Is transurethral catheterisation the ideal method of bladder drainage?,SAFE
The colour of pain: can patients use colour to describe osteoarthritis pain?,SAFE
Inpatient Pediatric Tonsillectomy: Does Hospital Type Affect Cost and Outcomes of Care?,SAFE
Does anterior laxity of the uninjured knee influence clinical outcomes of ACL reconstruction?,SAFE
Is the type of remission after a major depressive episode an important risk factor to relapses in a 4-year follow up?,SAFE
Prostate-specific antigen and free prostate-specific antigen in the early detection of prostate cancer: do combination tests improve detection?,SAFE
Can homemade alcohol (Raksi) be useful for preserving dead bodies?,SAFE
Do elderly cancer patients have different care needs compared with younger ones?,SAFE
Is breast cancer survival improving?,SAFE
Can common carotid intima media thickness serve as an indicator of both cardiovascular phenotype and risk among black Africans?,SAFE
Delayed diagnosis of anorectal malformations: are current guidelines sufficient?,SAFE
Is being small for gestational age a risk factor for retinopathy of prematurity?,SAFE
Comparative safety of infliximab and etanercept on the risk of serious infections: does the association vary by patient characteristics?,SAFE
Fast foods - are they a risk factor for asthma?,SAFE
Can magnetic resonance-ultrasound fusion biopsy improve cancer detection in enlarged prostates?,SAFE
Does normothermic normokalemic simultaneous antegrade/retrograde perfusion improve myocardial oxygenation and energy metabolism for hypertrophied hearts?,SAFE
Are there progressive brain changes in schizophrenia?,SAFE
Does concept mapping enhance learning outcome of nursing students?,SAFE
Is the Androgen Deficiency of Aging Men (ADAM) questionnaire useful for the screening of partial androgenic deficiency of aging men?,SAFE
Does the Transmissible Liability Index (TLI) assessed in late childhood predict suicidal symptoms at young adulthood?,SAFE
Are there gender differences in the reasons why African Americans delay in seeking medical help for symptoms of an acute myocardial infarction?,SAFE
Does histologic chorioamnionitis correspond to clinical chorioamnionitis?,SAFE
"Are lifetime prevalence of impetigo, molluscum and herpes infection really increased in children having atopic dermatitis?",SAFE
Does sonographic needle guidance affect the clinical outcome of intraarticular injections?,SAFE
Pancreas retransplantation:  a second chance for diabetic patients?,SAFE
Factors determining the survival of nasopharyngeal carcinoma with lung metastasis alone: does combined modality treatment benefit?,SAFE
Do viral infections have a role in benign paroxysmal positional vertigo?,SAFE
Does the enteral feeding advancement affect short-term outcomes in very low birth weight infants?,SAFE
Is late-night salivary cortisol a better screening test for possible cortisol excess than standard screening tests in obese patients with Type 2 diabetes?,SAFE
Does psychological distress predict disability?,SAFE
Does preloading with colloids prevent hemodynamic changes when neurosurgical patients are subsequently changed to the seated position?,SAFE
Does continuous intravenous infusion of low-concentration epinephrine impair uterine blood flow in pregnant ewes?,SAFE
Is there a first night effect on sleep bruxism?,SAFE
Does menopausal transition affect the quality of life?,SAFE
Can clinicians use the PHQ-9 to assess depression in people with vision loss?,SAFE
Should all human immunodeficiency virus-infected patients with end-stage renal disease be excluded from transplantation?,SAFE
Is the 7th TNM edition suitable for biological predictor in early gastric cancer?,SAFE
Does growth hormone replacement therapy reduce mortality in adults with growth hormone deficiency?,SAFE
Attaining negative margins in breast-conservation operations: is there a consensus among breast surgeons?,SAFE
Can serum be used for analyzing the EGFR mutation status in patients with advanced non-small cell lung cancer?,SAFE
Do Web-based and clinic samples of gay men living with HIV differ on self-reported physical and psychological symptoms?,SAFE
Are patients with diabetes receiving the same message from dietitians and nurses?,SAFE
Preparing patients at high risk of falls for discharge home after rehabilitation: Do we meet the guidelines?,SAFE
"Expression of c-kit protooncogen in hepatitis B virus-induced chronic hepatitis, cirrhosis and hepatocellular carcinoma: has it a diagnostic role?",SAFE
Longer term quality of life and outcome in stroke patients: is the Barthel index alone an adequate measure of outcome?,SAFE
Do women residents delay childbearing due to perceived career threats?,SAFE
Do general practitioner hospitals reduce the utilisation of general hospital beds?,SAFE
Some aspects of social exclusion: do they influence suicide mortality?,SAFE
Does parity increase insulin resistance during pregnancy?,SAFE
Informed consent for total hip arthroplasty: does a written information sheet improve recall by patients?,SAFE
Is gastric cancer different in Korea and the United States?,SAFE
Do we need imaging to diagnose appendicitis in children?,SAFE
Discharging patients earlier from Winnipeg hospitals: does it adversely affect quality of care?,SAFE
Does the distribution of health care benefits in Kenya meet the principles of universal coverage?,SAFE
Cholesterol screening in school children: is family history reliable to choose the ones to screen?,SAFE
Bony defects in chronic anterior posttraumatic dislocation of the shoulder: Is there a correlation between humeral and glenoidal lesions?,SAFE
Do parents recall and understand children's weight status information after BMI screening?,SAFE
Does ambulatory process of care predict health-related quality of life outcomes for patients with chronic disease?,SAFE
Does perspective-taking increase patient satisfaction in medical encounters?,SAFE
Is first-line single-agent mitoxantrone in the treatment of high-risk metastatic breast cancer patients as effective as combination chemotherapy?,SAFE
Are patients with Werlhof's disease at increased risk for bleeding complications when undergoing cardiac surgery?,SAFE
Is neck pain associated with worse health-related quality of life 6 months later?,SAFE
Does oral α-galactosidase relieve irritable bowel symptoms?,SAFE
Is there a connection between sublingual varices and hypertension?,SAFE
Can CT predict the level of CSF block in tuberculous hydrocephalus?,SAFE
MR arthrography of the shoulder: do we need local anesthesia?,SAFE
Does cognitive function predict frequency compressed speech recognition in listeners with normal hearing and normal cognition?,SAFE
Should cavitation in proximal surfaces be reported in cone beam computed tomography examination?,SAFE
Do supervised colorectal trainees differ from consultants in terms of quality of TME surgery?,SAFE
Affect-regulated exercise intensity: does training at an intensity that feels 'good' improve physical health?,SAFE
Do socioeconomic differences in mortality persist after retirement?,SAFE
Women with synchronous primary cancers of the endometrium and ovary: do they have Lynch syndrome?,SAFE
Can emergency physicians accurately and reliably assess acute vertigo in the emergency department?,SAFE
Orthostatic myoclonus: an underrecognized cause of unsteadiness?,SAFE
Is the cell death in mesial temporal sclerosis apoptotic?,SAFE
Contrast-enhanced MR imaging of hand and finger joints in patients with early rheumatoid arthritis: do we really need a full dose of gadobenate dimeglumine for assessing synovial enhancement at 3 T?,SAFE
Does laparoscopic cholecystectomy influence peri-sinusoidal cell activity?,SAFE
Does case-mix based reimbursement stimulate the development of process-oriented care delivery?,SAFE
Risky sexual behavior among college students With ADHD: is the mother-child relationship protective?,SAFE
Rotator cuff tear--an occupational disease?,SAFE
Is there a need for pelvic CT scan in cases of renal cell carcinoma?,SAFE
Prognostic factors for cervical spondylotic amyotrophy: are signs of spinal cord involvement associated with the neurological prognosis?,SAFE
Parasacral sciatic nerve block: does the elicited motor response predict the success rate?,SAFE
Is Bare-Metal Stent Implantation Still Justifiable in High Bleeding Risk Patients Undergoing Percutaneous Coronary Intervention?,SAFE
Ovarian torsion in children: is oophorectomy necessary?,SAFE
Does minimal access major surgery in the newborn hurt less?,SAFE
Does aerobic fitness influence microvascular function in healthy adults at risk of developing Type 2 diabetes?,SAFE
Are high flow nasal cannulae noisier than bubble CPAP for preterm infants?,SAFE
Nutritional assessment of gluten-free diet. Is gluten-free diet deficient in some nutrient?,SAFE
Standardizing care in medical oncology: are Web-based systems the answer?,SAFE
"Antiretroviral therapy related adverse effects: Can sub-Saharan Africa cope with the new ""test and treat"" policy of the World Health Organization?",SAFE
Are the elderly with oropharyngeal carcinoma undertreated?,SAFE
Preoperative staging of patients with liver metastases of colorectal carcinoma. Does PET/CT really add something to multidetector CT?,SAFE
Can myometrial electrical activity identify patients in preterm labor?,SAFE
Schizophrenia patients with high intelligence: A clinically distinct sub-type of schizophrenia?,SAFE
Is ankle/arm pressure predictive for cardiovascular mortality in older patients living in nursing homes?,SAFE
Is nasogastric decompression useful in prevention of leaks after laparoscopic sleeve gastrectomy?,SAFE
The objective structured clinical examination: can physician-examiners participate from a distance?,SAFE
CPAP therapy in patients with idiopathic pulmonary fibrosis and obstructive sleep apnea: does it offer a better quality of life and sleep?,SAFE
Does open access endoscopy close the door to an adequately informed patient?,SAFE
Is hypoalbuminemia an independent prognostic factor in patients with gastric cancer?,SAFE
Can the postoperative pain level be predicted preoperatively?,SAFE
Proliferative index obtained by DNA image cytometry. Does it add prognostic information in Auer IV breast cancer?,SAFE
Does skin care frequency affect the severity of incontinence-associated dermatitis in critically ill patients?,SAFE
Is primary angioplasty an acceptable alternative to thrombolysis?,SAFE
Should HIV-infected patients be screened for silent myocardial ischaemia using gated myocardial perfusion SPECT?,SAFE
Does the aggressive use of polyvalent antivenin for rattlesnake bites result in serious acute side effects?,SAFE
Do resident's leadership skills relate to ratings of technical skill?,SAFE
The FOOTSTEP self-management foot care programme: are rheumatoid arthritis patients physically able to participate?,SAFE
CYP2D6*4 allele and breast cancer risk: is there any association?,SAFE
Does base deficit predict mortality in patients with severe traumatic brain injury?,SAFE
Does increased use of private health care reduce the demand for NHS care?,SAFE
Does confined placental mosaicism account for adverse perinatal outcomes in IVF pregnancies?,SAFE
Utility of unenhanced fat-suppressed T1-weighted MRI in children with sickle cell disease -- can it differentiate bone infarcts from acute osteomyelitis?,SAFE
Cancer of the buccal mucosa: are margins and T-stage accurate predictors of local control?,SAFE
Can mass drug administration lead to the sustainable control of schistosomiasis?,SAFE
Can D-dimer become a new diagnostic parameter for acute appendicitis?,SAFE
Is there a relationship between rheumatoid arthritis and periodontal disease?,SAFE
Do clinical variables predict pathologic radiographs in the first episode of wheezing?,SAFE
Globulomaxillary cysts--do they really exist?,SAFE
MiraLAX vs. Golytely: is there a significant difference in the adenoma detection rate?,SAFE
Does government assistance improve utilization of eye care services by low-income individuals?,SAFE
Does telmisartan prevent hepatic fibrosis in rats with alloxan-induced diabetes?,SAFE
Two-year follow-up survey of patients with allergic contact dermatitis from an occupational cohort: is the prognosis dependent on the omnipresence of the allergen?,SAFE
Can calprotectin predict relapse risk in inflammatory bowel disease?,SAFE
Can nurse-led preoperative education reduce anxiety and postoperative complications of patients undergoing cardiac surgery?,SAFE
Is there a discrepancy between patient and physician quality of life assessment?,SAFE
